 approach_a , approach_b 
911751.4917,6202636.377
186003.0251,0
0,8188285.431
174799.522,0
783144.578,7278527.827
402343.2851,0
192848.9269,5557002.453
2420807.169,0
717874.8195,0
1282057.526,5852332.975
167087.6674,0
68769.51756,0
692711.4882,0
789587.8255,0
433874.0302,2668065.123
1667410.952,0
214437.7689,0
155678.9204,0
918145.9093,0
118121.0092,5163358.088
77872.07357,0
1045424.403,0
1408231.819,0
359518.9165,9527697.106
251205.1357,0
401208.7349,0
282616.0556,0
1407348.526,0
0,4211402.74
1023432.751,0
0,0
0,0
570175.555,5026709.472
1129195.288,0
144138.6271,0
639804.0166,0
438663.8426,0
1271655.151,0
1996172.015,5219764.953
1702782.546,1910841.774
826399.7553,0
572017.95,9758479.706
724997.8831,0
331848.7254,0
1297191.119,0
952480.0494,4463031.778
479364.1902,0
2358955.131,4520916.427
233573.7272,0
4170395.493,0
720250.3243,10749158.57
0,0
357468.8913,1888759.441
199360.3429,5099561.159
407220.8556,0
713789.7927,0
689923.7712,6543334.417
292339.5932,0
0,0
872475.9739,0
453925.3216,0
822962.2111,4832221.532
225838.6273,0
1110239.676,0
126637.5525,9483821.741
1061397.683,0
207219.5765,5452697.773
268318.2278,0
464935.7197,0
257194.7453,0
602079.6324,0
1309957.616,2321219.244
0,0
0,0
232827.8255,0
1173444.278,0
657533.6703,11496684.91
1236078.017,0
380797.8,0
284053.9997,0
822575.3611,9939809.146
236599.3098,5632771.053
1027648.262,0
937198.3134,7383759.783
2161171.116,0
212057.5107,0
318005.9942,8491785.443
280897.3165,0
642254.0439,0
2183655.577,0
1151328.025,0
398465.6275,7499870.495
1030304.503,0
480706.9517,0
591212.1871,0
562976.5699,0
315465.8668,0
0,2691882.526
1010336.312,0
417014.6545,0
71531.06531,5158999.946
486383.2192,0
0,0
1116671.426,0
0,0
743061.8272,0
0,0
283504.331,0
529631.0759,0
0,5294079.181
527338.2929,0
401710.4814,0
785393.1954,0
171612.808,0
220056.8448,0
193917.5305,0
824280.6413,0
1235879.89,0
120358.0613,0
1134003.45,0
3396209.194,0
496614.3456,7645964.164
196300.4173,0
529475.067,5056806.069
0,5691777.22
1836837.353,0
0,0
0,0
807147.8739,0
343322.149,0
628957.2455,0
204903.0254,0
1157177.664,0
459106.6594,0
797119.706,0
698349.0809,6707102.337
363609.7632,0
703688.4442,4632837.218
231948.4982,0
137238.6678,0
0,0
728765.5789,0
1159348.106,0
1597963.689,0
0,0
1421659.648,7758220.548
815458.5514,0
342624.5092,1685998.636
358164.6283,6426363.866
869795.4247,0
669574.8812,0
1092566.834,0
151750.7967,5417317.528
2131391.091,0
445684.341,0
858756.6201,7638661.609
0,0
235909.459,0
410180.475,0
311424.8918,0
1765070.399,1895309.452
357226.1736,7030672.458
905516.071,10060392.04
454321.3187,0
124752.8838,4179512.69
1827438.145,6376868.393
1698589.486,0
474994.8484,3735954.181
505685.4649,0
370727.3727,0
0,2044562.593
314518.2713,5336923.135
1138984.43,0
390481.6501,0
327789.1952,5582602.435
333531.7144,0
912555.0385,0
258541.2265,0
125510.562,0
1403612.723,0
2774250.764,0
174535.5635,0
0,0
90724.49751,0
1166365.89,0
1881255.213,0
168349.7153,6753027.912
0,9977457.326
146622.9591,0
420141.9678,0
912077.6931,0
1654197.88,0
373621.4155,9736650.967
1043154.024,0
0,11256974.23
247989.1186,0
71849.85354,0
1515599.777,0
0,0
207789.9165,0
1376851.395,6144744.084
335415.4549,0
332279.6434,0
662587.0979,8317098.248
492492.0012,0
761433.7225,0
243425.3517,0
0,0
0,0
257982.8381,0
875941.7672,7931386.393
831868.302,0
0,0
684478.382,0
801530.7681,0
925886.0156,0
640484.6883,0
269648.7459,0
534222.7272,11390737.58
697056.1193,0
804456.7283,8060454.758
742901.7964,0
0,0
0,0
720507.0151,0
690493.0581,0
0,0
513788.5228,0
351185.0678,0
0,0
1172634.693,0
0,0
143291.5866,0
1203110.53,0
1279462.23,0
2365780.781,0
334883.3611,0
1247856.19,0
466177.5603,0
191609.6811,11249565.13
659179.4128,0
1741932.494,0
110685.4921,0
810177.7755,0
1561159.794,0
1200663.298,9837363.174
479622.0752,4358261.191
434523.4572,3223317.585
943084.0024,3662691.34
1311004.284,11720371.32
503184.2427,0
507872.3692,0
268956.8061,0
471282.0217,0
394389.4458,0
923385.1657,0
798900.147,0
1714418.93,0
1191539.731,0
1446252.382,0
691667.8768,0
571177.78,0
237713.4266,0
327521.3281,0
493763.6349,7325911.434
248339.2905,0
958100.6457,0
1126841.28,0
667974.2235,0
846945.4759,2263571.602
705710.4463,0
366723.5393,0
1855434.885,8388373.428
394206.7632,0
0,0
726260.7129,0
260876.1527,4185276.646
296237.8316,4461179.646
142876.3765,0
149085.8232,0
682736.2403,0
0,0
1954169.45,3631104.032
835058.9981,0
701710.9696,0
538509.9349,6788024.488
623866.4937,10246098.07
0,0
931859.9312,0
490770.4305,5095662.312
738588.2353,2862569.754
0,0
1203125.898,0
874867.9229,0
662757.6718,3428286.863
424602.6588,0
0,0
819884.8065,0
294409.7614,5571704.782
634900.4341,0
0,0
0,0
956572.4212,3153416.158
182756.5053,0
962405.1317,0
583670.7278,0
749556.2385,0
0,0
1377157.427,0
605752.2244,0
585256.8313,0
1151754.918,6601607.29
713631.9548,3757344.676
243309.6556,0
754719.1026,0
458211.6755,3764391.393
154552.9887,0
1680924.074,5456275.218
779289.0528,0
256317.4759,5267618.408
0,0
509078.3527,10832161.46
469252.1292,2581417.314
69298.33197,0
950286.6588,0
362532.9429,0
292443.1058,2449868.458
217813.5984,0
1717093.409,0
679721.5603,0
231785.9944,3264114.184
1099207.217,0
104021.3677,0
770422.4501,0
236210.9621,0
959046.3925,0
853020.571,0
180219.2694,0
619936.7288,0
1163691.205,0
465122.6714,5407051.244
523763.7018,0
608484.7574,0
1461947.144,0
1147075.272,0
647073.9005,0
423506.5073,0
508895.2763,2146898.052
100357.4272,0
362627.997,0
722210.78,0
332002.749,0
